# DNSweeper分析結果 - 月次DNS棚卸し用
# 使用方法: 1.Cloudflare UIで使用状況確認 2.削除判断記入 3.削除実行
ドメイン名,レコードタイプ,コンテンツ,TTL,プロキシ設定,作成日,最終更新日,リスクスコア,リスクレベル,検出パターン,判定理由,使用状況確認,削除判断,削除実行日,備考
"old-ftp.example.com",CNAME,"oldserver.example.com",300,NO,2021-11-10T06:00:00Z,2022-01-10T08:00:00Z,115,クリティカル,"prefix:old-","危険なプレフィックス「old-」が検出されました; 最終更新から1276日経過しています; CNAMEレコードは参照先の変更に注意が必要です",,,,
"temp-redirect.example.com",CNAME,"temporary.example.com",300,NO,2024-01-05T15:00:00Z,2024-01-05T15:00:00Z,115,クリティカル,"prefix:temp-","危険なプレフィックス「temp-」が検出されました; 最終更新から550日経過しています; CNAMEレコードは参照先の変更に注意が必要です",,,,
"old-api.example.com",A,"192.168.1.10",300,NO,2022-05-10T09:00:00Z,2023-02-10T10:00:00Z,110,クリティカル,"prefix:old-","危険なプレフィックス「old-」が検出されました; 最終更新から880日経過しています",,,,
"test-server.example.com",A,"192.168.1.20",300,NO,2023-08-15T11:30:00Z,2023-08-15T11:30:00Z,110,クリティカル,"prefix:test-","危険なプレフィックス「test-」が検出されました; 最終更新から694日経過しています",,,,
"dev-portal.example.com",A,"192.168.1.30",300,NO,2023-09-01T08:00:00Z,2023-09-05T14:00:00Z,110,クリティカル,"prefix:dev-","危険なプレフィックス「dev-」が検出されました; 最終更新から672日経過しています",,,,
"staging-api.example.com",A,"192.168.1.40",300,NO,2023-10-10T10:00:00Z,2024-01-10T12:00:00Z,110,クリティカル,"prefix:staging-","危険なプレフィックス「staging-」が検出されました; 最終更新から546日経過しています",,,,
"demo-app.example.com",A,"192.168.4.10",300,NO,2024-02-01T09:00:00Z,2024-02-15T11:00:00Z,110,クリティカル,"prefix:demo-","危険なプレフィックス「demo-」が検出されました; 最終更新から510日経過しています",,,,
"test-monitoring.example.com",A,"192.168.8.10",300,NO,2024-01-10T14:00:00Z,2024-01-10T14:00:00Z,110,クリティカル,"prefix:test-","危険なプレフィックス「test-」が検出されました; 最終更新から545日経過しています",,,,
"db-backup.example.com",A,"192.168.12.2",300,NO,2024-03-01T09:00:00Z,2024-09-01T09:00:00Z,100,クリティカル,"suffix:-backup","危険なサフィックス「-backup」が検出されました; 最終更新から311日経過しています",,,,
"backup-mail.example.com",MX,"backup.mail.example.com",300,NO,2022-12-01T07:00:00Z,2023-01-01T09:00:00Z,80,高リスク,"prefix:backup-","危険なプレフィックス「backup-」が検出されました; 最終更新から920日経過しています",,,,
"legacy-system.example.com",A,"192.168.5.1",300,NO,2020-01-01T00:00:00Z,2021-06-30T23:59:00Z,80,高リスク,"prefix:legacy-","危険なプレフィックス「legacy-」が検出されました; 最終更新から1469日経過しています",,,,
"archive.example.com",A,"192.168.5.2",300,NO,2021-03-15T08:00:00Z,2022-09-30T17:00:00Z,80,高リスク,"keyword:archive","危険なキーワード「archive」が検出されました; 最終更新から1012日経過しています",,,,
